iter	Logloss
0	0.6386910213
5	0.4695425846
10	0.3870074085
15	0.3432381316
20	0.3171499606
25	0.300838759
30	0.2899320307
35	0.2820054522
40	0.2758647459
45	0.2715268279
50	0.2677669293
55	0.2650929185
60	0.263070561
65	0.2607532768
70	0.2588338897
75	0.2571171203
80	0.2554876668
85	0.2542242687
90	0.2531792848
95	0.251702661
100	0.250461385
105	0.2493624728
110	0.2484621093
115	0.2476546056
120	0.2467482184
125	0.2461154177
130	0.2453837513
135	0.2447616474
140	0.2439224263
145	0.2433701539
150	0.2426560786
155	0.2419462856
160	0.2413061819
165	0.2408419894
170	0.2404090167
175	0.2398459586
180	0.2394741995
185	0.2390393789
190	0.2385577019
195	0.2380548267
199	0.2377637025
