iter	Passed	Remaining
0	58	11670
1	116	11546
2	175	11518
3	234	11473
4	292	11389
5	350	11340
6	411	11334
7	472	11348
8	531	11282
9	590	11227
10	651	11198
11	712	11161
12	774	11135
13	831	11051
14	888	10962
15	948	10912
16	1009	10869
17	1071	10829
18	1128	10748
19	1185	10668
20	1246	10628
21	1303	10543
22	1361	10479
23	1418	10400
24	1476	10335
25	1536	10283
26	1596	10227
27	1649	10134
28	1709	10079
29	1766	10007
30	1825	9949
31	1882	9882
32	1939	9814
33	2001	9771
34	2065	9736
35	2124	9676
36	2184	9622
37	2246	9577
38	2306	9523
39	2369	9476
40	2426	9411
41	2489	9364
42	2550	9310
43	2618	9282
44	2680	9232
45	2739	9173
46	2806	9137
47	2868	9083
48	2927	9021
49	2996	8989
50	3053	8920
51	3110	8853
52	3166	8783
53	3223	8714
54	3277	8641
55	3341	8593
56	3401	8534
57	3457	8464
58	3516	8404
59	3574	8341
60	3634	8281
61	3685	8203
62	3743	8140
63	3800	8075
64	3865	8028
65	3925	7968
66	3982	7905
67	4040	7844
68	4101	7787
69	4159	7725
70	4222	7671
71	4283	7615
72	4343	7557
73	4402	7495
74	4461	7436
75	4523	7381
76	4582	7319
77	4642	7262
78	4699	7198
79	4755	7133
80	4813	7071
81	4871	7009
82	4928	6947
83	4985	6885
84	5042	6822
85	5099	6760
86	5159	6701
87	5217	6640
88	5278	6583
89	5338	6524
90	5399	6467
91	5458	6407
92	5518	6348
93	5577	6289
94	5636	6229
95	5694	6168
96	5755	6111
97	5821	6058
98	5879	5998
99	5937	5937
100	5997	5878
101	6056	5818
102	6115	5759
103	6174	5699
104	6237	5643
105	6304	5590
106	6367	5534
107	6426	5474
108	6482	5411
109	6538	5350
110	6596	5288
111	6653	5227
112	6709	5165
113	6765	5103
114	6825	5044
115	6884	4985
116	6942	4924
117	7001	4865
118	7059	4805
119	7118	4745
120	7178	4686
121	7240	4629
122	7304	4572
123	7362	4512
124	7422	4453
125	7477	4391
126	7535	4331
127	7591	4270
128	7651	4211
129	7708	4150
130	7765	4090
131	7823	4030
132	7880	3969
133	7938	3909
134	7994	3849
135	8057	3791
136	8120	3734
137	8176	3673
138	8232	3612
139	8289	3552
140	8345	3492
141	8402	3432
142	8461	3372
143	8516	3311
144	8572	3251
145	8628	3191
146	8685	3131
147	8743	3071
148	8798	3011
149	8854	2951
150	8913	2892
151	8972	2833
152	9034	2775
153	9091	2715
154	9148	2655
155	9206	2596
156	9263	2537
157	9320	2477
158	9376	2417
159	9431	2357
160	9487	2298
161	9552	2240
162	9611	2181
163	9668	2122
164	9724	2062
165	9783	2003
166	9839	1944
167	9895	1884
168	9951	1825
169	10008	1766
170	10065	1706
171	10120	1647
172	10179	1588
173	10238	1529
174	10296	1470
175	10352	1411
176	10411	1352
177	10468	1293
178	10525	1234
179	10586	1176
180	10643	1117
181	10701	1058
182	10756	999
183	10806	939
184	10863	880
185	10919	821
186	10975	762
187	11036	704
188	11089	645
189	11147	586
190	11204	527
191	11266	469
192	11325	410
193	11398	352
194	11500	294
195	11561	235
196	11620	176
197	11678	117
198	11735	58
199	11791	0
